Gene	# Structural Variant	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
DNMT3A	2	2	799	0.3%	Yes
SORD	1	1	799	0.1%	No
NRG1	1	1	799	0.1%	Yes
RANGAP1	1	1	799	0.1%	No
SLCO1C1	1	1	799	0.1%	No
SLC25A17	1	1	799	0.1%	No
PIK3CA	4	4	799	0.5%	Yes
CATSPERE	1	1	799	0.1%	No
ESRP1	2	2	799	0.3%	No
TOP1	1	1	799	0.1%	Yes
ACPP	2	1	799	0.1%	No
BCAT1	1	1	799	0.1%	No
MET	5	5	799	0.6%	Yes
NLGN3	1	1	799	0.1%	No
CEBPA	1	1	799	0.1%	Yes
NLGN1	1	1	799	0.1%	No
HDAC1	2	2	799	0.3%	Yes
SRC	2	2	799	0.3%	Yes
SEMA3G	2	2	799	0.3%	No
MLLT1	1	1	799	0.1%	Yes
MLLT3	1	1	799	0.1%	Yes
P2RY8	5	5	799	0.6%	Yes
PTPRZ1	1	1	799	0.1%	No
DCAF10	1	1	799	0.1%	No
UGGT2	1	1	799	0.1%	No
NTRK1	3	3	799	0.4%	Yes
NTRK2	3	2	799	0.3%	Yes
NTRK3	2	2	799	0.3%	Yes
DDHD2	3	3	799	0.4%	No
PTPN11	1	1	799	0.1%	Yes
MERTK	1	1	799	0.1%	Yes
MTOR	5	5	799	0.6%	Yes
TBX3	7	6	799	0.8%	Yes
BICC1	3	2	799	0.3%	No
RAD52	1	1	799	0.1%	Yes
CUL4A	2	2	799	0.3%	Yes
ASXL1	5	5	799	0.6%	Yes
APC	13	13	799	1.6%	Yes
NOVA2	1	1	799	0.1%	No
ASXL2	1	1	799	0.1%	Yes
BCOR	2	2	799	0.3%	Yes
UMODL1	1	1	799	0.1%	No
SPON2	1	1	799	0.1%	No
SMARCB1	2	2	799	0.3%	Yes
KEAP1	3	3	799	0.4%	Yes
IKZF3	3	3	799	0.4%	Yes
RCBTB2	1	1	799	0.1%	No
CRKL	1	1	799	0.1%	Yes
OPHN1	1	1	799	0.1%	No
PPP2R1A	2	2	799	0.3%	Yes
ADGRA2	6	6	799	0.8%	Yes
CHEK2	2	2	799	0.3%	Yes
CHEK1	1	1	799	0.1%	Yes
KDR	2	2	799	0.3%	Yes
SOX9	1	1	799	0.1%	Yes
THSD7A	1	1	799	0.1%	No
ATXN7L1	1	1	799	0.1%	No
EPHB2	1	1	799	0.1%	No
B2M	2	2	799	0.3%	Yes
EPHB1	1	1	799	0.1%	Yes
EPHB4	2	2	799	0.3%	Yes
EYS	1	1	799	0.1%	No
TNS1	1	1	799	0.1%	No
EPHA5	2	2	799	0.3%	Yes
TIPIN	1	1	799	0.1%	No
TANGO6	2	2	799	0.3%	No
ARL15	1	1	799	0.1%	No
HNF1A	1	1	799	0.1%	Yes
RUNX1	5	5	799	0.6%	Yes
HLA-E	1	1	799	0.1%	No
PLPP7	1	1	799	0.1%	No
INPP4B	1	1	799	0.1%	Yes
PLPP4	1	1	799	0.1%	No
XRN1	1	1	799	0.1%	No
CCNY	1	1	799	0.1%	No
KDELR2	1	1	799	0.1%	No
TRIM15	1	1	799	0.1%	No
EZR	1	1	799	0.1%	Yes
BCORL1	2	2	799	0.3%	Yes
TP53	16	16	799	2.0%	Yes
KCTD16	1	1	799	0.1%	No
MACF1	1	1	799	0.1%	No
SLC45A3	1	1	799	0.1%	Yes
SDC4	1	1	799	0.1%	Yes
STXBP1	1	1	799	0.1%	No
KLK2	1	1	799	0.1%	Yes
MST1R	1	1	799	0.1%	Yes
PIK3R1	3	3	799	0.4%	Yes
RPAP3	1	1	799	0.1%	No
HELZ2	1	1	799	0.1%	No
NKAIN2	3	2	799	0.3%	No
BRIP1	1	1	799	0.1%	Yes
NKAIN3	1	1	799	0.1%	No
SCFD2	1	1	799	0.1%	No
INPP5D	1	1	799	0.1%	Yes
MAP7	1	1	799	0.1%	No
RBM10	2	2	799	0.3%	Yes
RAB11FIP4	1	1	799	0.1%	No
WWTR1	1	1	799	0.1%	Yes
XBP1	10	10	799	1.3%	Yes
DTNB	1	1	799	0.1%	No
PPP1R21	1	1	799	0.1%	No
SYNRG	1	1	799	0.1%	No
SMARCA1	1	1	799	0.1%	Yes
SMARCA4	8	8	799	1.0%	Yes
